sample_id,title,source,tissue
GSM4756692,endometriosis_1,paraffin-embedded tissue,endometriosis
GSM4756693,endometriosis_2,paraffin-embedded tissue,endometriosis
GSM4756694,endometriosis_3,paraffin-embedded tissue,endometriosis
GSM4756695,endometriosis_4,paraffin-embedded tissue,endometriosis
GSM4756696,endometriosis_5,paraffin-embedded tissue,endometriosis
GSM4756697,endometriosis_6,paraffin-embedded tissue,endometriosis
GSM4756698,endometriosis_7,paraffin-embedded tissue,endometriosis
GSM4756699,endometriosis_8,paraffin-embedded tissue,endometriosis
GSM4756700,endometriosis_9,paraffin-embedded tissue,endometriosis
GSM4756701,atypical endometriosis_1,paraffin-embedded tissue,atypical endometriosis
GSM4756702,atypical endometriosis_2,paraffin-embedded tissue,atypical endometriosis
GSM4756703,atypical endometriosis_3,paraffin-embedded tissue,atypical endometriosis
GSM4756704,atypical endometriosis_4,paraffin-embedded tissue,atypical endometriosis
GSM4756705,atypical endometriosis_5,paraffin-embedded tissue,atypical endometriosis
GSM4756706,atypical endometriosis_6,paraffin-embedded tissue,atypical endometriosis
GSM4756707,atypical endometriosis_7,paraffin-embedded tissue,atypical endometriosis
GSM4756708,atypical endometriosis_8,paraffin-embedded tissue,atypical endometriosis
GSM4756709,atypical endometriosis_9,paraffin-embedded tissue,atypical endometriosis
GSM4756710,atypical endometriosis_10,paraffin-embedded tissue,atypical endometriosis
GSM4756711,atypical endometriosis_11,paraffin-embedded tissue,atypical endometriosis
GSM4756712,atypical endometriosis_12,paraffin-embedded tissue,atypical endometriosis
GSM4756713,atypical endometriosis_13,paraffin-embedded tissue,atypical endometriosis
GSM4756714,atypical endometriosis_14,paraffin-embedded tissue,atypical endometriosis
GSM4756715,atypical endometriosis_15,paraffin-embedded tissue,atypical endometriosis
GSM4756716,atypical endometriosis_16,paraffin-embedded tissue,atypical endometriosis
GSM4756717,atypical endometriosis_17,paraffin-embedded tissue,atypical endometriosis
GSM4756718,atypical endometriosis_18,paraffin-embedded tissue,atypical endometriosis
GSM4756719,adjacent endometriosis to clear cell ovarian carcinoma_1,paraffin-embedded tissue,adjacent endometriosis to clear cell ovarian carcinoma
GSM4756720,adjacent endometriosis to clear cell ovarian carcinoma_2,paraffin-embedded tissue,adjacent endometriosis to clear cell ovarian carcinoma
GSM4756721,adjacent endometriosis to clear cell ovarian carcinoma_3,paraffin-embedded tissue,adjacent endometriosis to clear cell ovarian carcinoma
GSM4756722,adjacent endometriosis to clear cell ovarian carcinoma_4,paraffin-embedded tissue,adjacent endometriosis to clear cell ovarian carcinoma
GSM4756723,adjacent endometriosis to clear cell ovarian carcinoma_5,paraffin-embedded tissue,adjacent endometriosis to clear cell ovarian carcinoma
GSM4756724,adjacent endometriosis to clear cell ovarian carcinoma_6,paraffin-embedded tissue,adjacent endometriosis to clear cell ovarian carcinoma
GSM4756725,adjacent endometriosis to clear cell ovarian carcinoma_7,paraffin-embedded tissue,adjacent endometriosis to clear cell ovarian carcinoma
GSM4756726,adjacent endometriosis to endometrioid ovarian carcinoma_1,paraffin-embedded tissue,adjacent endometriosis to endometrioid ovarian carcinoma
GSM4756727,adjacent endometriosis to endometrioid ovarian carcinoma_2,paraffin-embedded tissue,adjacent endometriosis to endometrioid ovarian carcinoma
GSM4756728,adjacent endometriosis to endometrioid ovarian carcinoma_3,paraffin-embedded tissue,adjacent endometriosis to endometrioid ovarian carcinoma
GSM4756729,clear cell ovarian carcinoma_1,paraffin-embedded tissue,clear cell ovarian carcinoma
GSM4756730,clear cell ovarian carcinoma_2,paraffin-embedded tissue,clear cell ovarian carcinoma
GSM4756731,endometrioid ovarian carcinoma_1,paraffin-embedded tissue,endometrioid ovarian carcinoma
GSM4756732,clear cell ovarian carcinoma_3,paraffin-embedded tissue,clear cell ovarian carcinoma
GSM4756733,endometrioid ovarian carcinoma_2,paraffin-embedded tissue,endometrioid ovarian carcinoma
GSM4756734,clear cell ovarian carcinoma_4,paraffin-embedded tissue,clear cell ovarian carcinoma
GSM4756735,clear cell ovarian carcinoma_5,paraffin-embedded tissue,clear cell ovarian carcinoma
GSM4756736,endometrioid ovarian carcinoma_3,paraffin-embedded tissue,endometrioid ovarian carcinoma
GSM4756737,clear cell ovarian carcinoma_6,paraffin-embedded tissue,clear cell ovarian carcinoma
GSM4756738,endometrioid ovarian carcinoma_4,paraffin-embedded tissue,endometrioid ovarian carcinoma
GSM4756739,endometrioid ovarian carcinoma_5,paraffin-embedded tissue,endometrioid ovarian carcinoma
GSM4756740,clear cell ovarian carcinoma_7,paraffin-embedded tissue,clear cell ovarian carcinoma
GSM4756741,endometrioid ovarian carcinoma_6,paraffin-embedded tissue,endometrioid ovarian carcinoma
GSM4756742,clear cell ovarian carcinoma_8,paraffin-embedded tissue,clear cell ovarian carcinoma
GSM4756743,clear cell ovarian carcinoma_9,paraffin-embedded tissue,clear cell ovarian carcinoma
GSM4756744,clear cell ovarian carcinoma_10,paraffin-embedded tissue,clear cell ovarian carcinoma
GSM4756745,endometrioid ovarian carcinoma_7,paraffin-embedded tissue,endometrioid ovarian carcinoma
GSM4756746,clear cell ovarian carcinoma_11,paraffin-embedded tissue,clear cell ovarian carcinoma
GSM4756747,endometrioid ovarian carcinoma_8,paraffin-embedded tissue,endometrioid ovarian carcinoma
GSM4756748,endometrioid ovarian carcinoma_9,paraffin-embedded tissue,endometrioid ovarian carcinoma
GSM4756749,endometrioid ovarian carcinoma_10,paraffin-embedded tissue,endometrioid ovarian carcinoma
GSM4756750,clear cell ovarian carcinoma_12,paraffin-embedded tissue,clear cell ovarian carcinoma
GSM4756751,clear cell ovarian carcinoma_13,paraffin-embedded tissue,clear cell ovarian carcinoma
GSM4756752,clear cell ovarian carcinoma_14,paraffin-embedded tissue,clear cell ovarian carcinoma
GSM4756753,endometrioid ovarian carcinoma_11,paraffin-embedded tissue,endometrioid ovarian carcinoma
GSM4756754,endometrioid ovarian carcinoma_12,paraffin-embedded tissue,endometrioid ovarian carcinoma
GSM4756755,clear cell ovarian carcinoma_15,paraffin-embedded tissue,clear cell ovarian carcinoma
GSM4756756,clear cell ovarian carcinoma_16,paraffin-embedded tissue,clear cell ovarian carcinoma
GSM4756757,clear cell ovarian carcinoma_17,paraffin-embedded tissue,clear cell ovarian carcinoma
